,feature1,feature2,feature3,feature4,feature5
0,1.0,4,1.0,4.0,4.0
1,2.0,6,2.0,3.0,3.0
2,3.0,2,4.0,1.0,4.0
3,4.0,4,3.0,2.0,2.0
4,5.0,5,6.0,4.0,
5,6.0,6,2.0,5.0,6.0
6,7.0,7,6.0,6.0,2.0
7,8.0,8,6.0,7.0,4.0
8,9.0,9,,8.0,5.0
9,3.0,2,1.0,9.0,6.0
10,4.0,4,5.0,2.0,7.0
11,,3,0.0,,8.0
12,6.0,2,3.0,3.0,9.0
13,4.0,2,2.0,2.0,2.0
14,5.0,6,1.0,1.0,4.0
15,1.0,4,1.0,4.0,4.0
16,2.0,6,2.0,3.0,3.0
17,3.0,2,4.0,1.0,4.0
18,4.0,4,3.0,2.0,2.0
19,5.0,5,,4.0,1.0
20,6.0,6,2.0,5.0,6.0
21,7.0,7,6.0,6.0,2.0
22,8.0,8,6.0,7.0,4.0
23,9.0,9,1.0,8.0,5.0
24,3.0,2,1.0,9.0,
25,4.0,4,5.0,2.0,7.0
26,1.0,3,0.0,1.0,8.0
27,6.0,2,3.0,3.0,9.0
28,4.0,2,2.0,2.0,2.0
29,5.0,6,1.0,1.0,4.0
